Contig_ID,Position,GC_Content,GC_Deviation
MEKH01000001.1,0.0005,53.400000000000006,0.28143659708924673
MEKH01000001.1,0.0015,59.4,6.28143659708924
MEKH01000001.1,0.0025,53.0,-0.11856340291075895
MEKH01000001.1,0.0035,48.199999999999996,-4.918563402910763
MEKH01000001.1,0.0045,50.8,-2.318563402910762
MEKH01000001.1,0.0055,47.599999999999994,-5.518563402910765
MEKH01000001.1,0.0065,49.6,-3.5185634029107575
MEKH01000001.1,0.0075,51.9,-1.2185634029107604
MEKH01000001.1,0.0085,51.800000000000004,-1.3185634029107547
MEKH01000001.1,0.0095,51.7,-1.418563402910756
MEKH01000001.1,0.0105,48.699999999999996,-4.418563402910763
MEKH01000001.1,0.0115,55.900000000000006,2.7814365970892467
MEKH01000001.1,0.0125,53.5,0.38143659708924105
MEKH01000001.1,0.0135,54.7,1.581436597089244
MEKH01000001.1,0.0145,51.5,-1.618563402910759
MEKH01000001.1,0.0155,53.7,0.5814365970892439
MEKH01000001.1,0.0165,48.0,-5.118563402910759
MEKH01000001.1,0.0175,53.6,0.48143659708924247
MEKH01000001.1,0.0185,50.2,-2.918563402910756
MEKH01000001.1,0.0195,50.0,-3.118563402910759
MEKH01000001.1,0.0205,53.1,-0.01856340291075753
MEKH01000001.1,0.0215,47.599999999999994,-5.518563402910765
MEKH01000001.1,0.0225,48.8,-4.318563402910762
MEKH01000001.1,0.0235,47.5,-5.618563402910759
MEKH01000001.1,0.0245,51.0,-2.118563402910759
MEKH01000001.1,0.0255,50.2,-2.918563402910756
MEKH01000001.1,0.0265,50.7,-2.418563402910756
MEKH01000001.1,0.0275,58.5,5.381436597089241
MEKH01000001.1,0.0285,65.0,11.881436597089241
MEKH01000001.1,0.0295,59.0,5.881436597089241
MEKH01000001.1,0.0305,55.800000000000004,2.6814365970892453
MEKH01000001.1,0.0315,51.4,-1.7185634029107604
MEKH01000001.1,0.0325,49.8,-3.318563402910762
MEKH01000001.1,0.0335,49.9,-3.2185634029107604
MEKH01000001.1,0.0345,48.8,-4.318563402910762
MEKH01000001.1,0.0355,51.300000000000004,-1.8185634029107547
MEKH01000001.1,0.0365,55.2,2.081436597089244
MEKH01000001.1,0.0375,55.7,2.581436597089244
MEKH01000001.1,0.0385,55.7,2.581436597089244
MEKH01000001.1,0.0395,58.8,5.681436597089238
MEKH01000001.1,0.0405,53.900000000000006,0.7814365970892467
MEKH01000001.1,0.0415,53.6,0.48143659708924247
MEKH01000001.1,0.0425,50.4,-2.7185634029107604
MEKH01000001.1,0.0435,49.0,-4.118563402910759
MEKH01000001.1,0.0445,46.7,-6.418563402910756
MEKH01000001.1,0.0455,48.699999999999996,-4.418563402910763
MEKH01000001.1,0.0465,47.8,-5.318563402910762
