Contig_ID,Position,GC_Content,GC_Deviation
chr_1,0.0005,62.3,3.0029167460441357
chr_1,0.0015,53.6,-5.69708325395586
chr_1,0.0025,51.300000000000004,-7.997083253955857
chr_1,0.0035,55.1,-4.19708325395586
chr_1,0.0045,60.0,0.7029167460441386
chr_1,0.0055,54.6,-4.69708325395586
chr_1,0.0065,53.0,-6.297083253955861
chr_1,0.0075,58.4,-0.8970832539558629
chr_1,0.0085,56.3,-2.9970832539558643
chr_1,0.0095,58.4,-0.8970832539558629
chr_1,0.0105,57.099999999999994,-2.197083253955867
chr_1,0.0115,54.7,-4.597083253955859
chr_1,0.0125,56.2,-3.0970832539558586
chr_1,0.0135,52.900000000000006,-6.397083253955856
chr_1,0.0145,55.1,-4.19708325395586
chr_1,0.0155,54.6,-4.69708325395586
chr_1,0.0165,56.699999999999996,-2.5970832539558657
chr_1,0.0175,57.599999999999994,-1.6970832539558671
chr_1,0.0185,57.3,-1.9970832539558643
chr_1,0.0195,56.10000000000001,-3.197083253955853
chr_1,0.0205,56.8,-2.4970832539558643
chr_1,0.0215,53.800000000000004,-5.497083253955857
chr_1,0.0225,56.599999999999994,-2.697083253955867
chr_1,0.0235,64.60000000000001,5.302916746044147
chr_1,0.0245,65.10000000000001,5.802916746044147
chr_1,0.0255,60.699999999999996,1.4029167460441343
chr_1,0.0265,63.5,4.202916746044139
chr_1,0.0275,65.10000000000001,5.802916746044147
chr_1,0.0285,67.0,7.702916746044139
chr_1,0.0295,62.9,3.602916746044137
chr_1,0.0305,64.7,5.402916746044141
chr_1,0.0315,62.7,3.4029167460441414
chr_1,0.0325,54.800000000000004,-4.497083253955857
chr_1,0.0335,51.9,-7.397083253955863
chr_1,0.0345,52.6,-6.69708325395586
chr_1,0.0355,48.699999999999996,-10.597083253955866
chr_1,0.0365,49.4,-9.897083253955863
chr_1,0.0375,51.1,-8.19708325395586
chr_1,0.0385,52.7,-6.597083253955859
chr_1,0.0395,52.800000000000004,-6.497083253955857
chr_1,0.0405,52.6,-6.69708325395586
chr_1,0.0415,51.2,-8.097083253955859
chr_1,0.0425,56.99999999999999,-2.2970832539558685
chr_1,0.0435,60.699999999999996,1.4029167460441343
chr_1,0.0445,63.6,4.30291674604414
chr_1,0.0455,62.2,2.9029167460441414
chr_1,0.0465,56.599999999999994,-2.697083253955867
chr_1,0.0475,56.89999999999999,-2.39708325395587
chr_1,0.0485,57.199999999999996,-2.0970832539558657
chr_1,0.0495,57.9,-1.3970832539558629
chr_1,0.0505,54.2,-5.097083253955859
chr_1,0.0515,57.3,-1.9970832539558643
chr_1,0.0525,58.199999999999996,-1.0970832539558657
chr_1,0.0535,60.6,1.30291674604414
chr_1,0.0545,59.9,0.6029167460441371
chr_1,0.0555,60.199999999999996,0.9029167460441343
chr_1,0.0565,55.7,-3.5970832539558586
chr_1,0.0575,51.800000000000004,-7.497083253955857
chr_1,0.0585,54.300000000000004,-4.997083253955857
chr_1,0.0595,53.400000000000006,-5.897083253955856
chr_1,0.0605,53.300000000000004,-5.997083253955857
chr_1,0.0615,53.6,-5.69708325395586
chr_1,0.0625,61.6,2.30291674604414
chr_1,0.0635,68.10000000000001,8.802916746044147
chr_1,0.0645,66.5,7.202916746044139
chr_1,0.0655,61.9,2.602916746044137
chr_1,0.0665,64.5,5.202916746044139
